Market,Target Outcome,Internal Purpose,Stake Units,Projected Multiplier,Preferred Public Narrative
Champion futures,Argentina champion,Primary settlement,1200,18.4,"Defending power confirms status"
Exact finalists,Argentina vs Spain,Final-pair leverage,420,31.0,"Technical final between elite systems"
Semifinal elimination,Brazil eliminated by Argentina,Emotional liquidity trap,300,22.5,"Classic rivalry decided by details"
Quarterfinal elimination,Portugal eliminated by Argentina,Volatility capture,260,16.0,"Explosive team contained by discipline"
Round of 16 elimination,Belgium eliminated by Argentina,Credibility checkpoint,190,9.5,"Control under pressure"
Round of 32 underdog,Cape Verde loses narrowly,Sympathy-volume extraction,80,7.2,"Historic run ends with dignity"
Final goal total,Under 2.5 goals,Low-score settlement,510,2.1,"Tactical final"
Final margin,Argentina by one goal,High-margin combo leg,210,5.8,"One decisive moment"
Live odds turbulence,Second-half humidity swing,In-play spread movement,150,3.4,"Fatigue after intense first half"
Penalty volatility,One knockout match reaches penalties,Public chaos hedge,95,6.6,"Nerves and pressure"
